product_id,category_id,category_name,subcategory,brand,supplier_id,cost_price,retail_price,margin_percent,stock_level,reorder_point,discontinued,launch_date,last_updated
PROD001,CAT001,Electronics,Smartphones,TechBrand,SUP001,120.00,150.00,20.0,45,20,false,2023-01-15,2024-07-01
PROD002,CAT001,Electronics,Tablets,TechBrand,SUP001,65.00,89.99,27.7,32,15,false,2023-02-10,2024-06-15
PROD003,CAT002,Clothing,T-Shirts,FashionCorp,SUP002,15.50,245.50,93.5,78,25,false,2023-03-05,2024-07-10
PROD004,CAT003,Home & Garden,Furniture,HomeMaker,SUP003,200.00,320.00,37.5,12,5,false,2023-01-20,2024-05-20
PROD005,CAT001,Electronics,Headphones,AudioPro,SUP004,80.00,199.99,60.0,28,10,false,2023-04-12,2024-06-30
PROD006,CAT004,Sports,Fitness Equipment,FitGear,SUP005,350.00,567.80,38.4,8,3,false,2023-02-28,2024-07-05
PROD007,CAT002,Clothing,Jeans,FashionCorp,SUP002,85.00,425.00,80.0,15,8,false,2023-05-15,2024-06-20
PROD008,CAT005,Books,Fiction,BookWorld,SUP006,18.00,289.99,94.4,120,30,false,2023-01-10,2024-07-15
PROD009,CAT003,Home & Garden,Kitchen Appliances,HomeMaker,SUP003,45.00,95.75,53.0,25,12,false,2023-06-01,2024-05-10
PROD010,CAT001,Electronics,Laptops,TechBrand,SUP001,300.00,512.40,41.4,18,6,false,2023-03-20,2024-07-08
PROD011,CAT004,Sports,Outdoor Gear,AdventureCo,SUP007,420.00,678.90,38.1,22,8,false,2023-04-05,2024-06-25
PROD012,CAT005,Books,Non-Fiction,BookWorld,SUP006,12.50,156.40,92.0,85,25,false,2023-02-14,2024-07-12
PROD013,CAT002,Clothing,Shoes,FashionCorp,SUP002,110.00,445.20,75.3,35,15,false,2023-07-10,2024-05-30
PROD014,CAT001,Electronics,Cameras,PhotoTech,SUP008,380.00,589.99,35.5,14,5,false,2023-01-25,2024-07-18
PROD015,CAT003,Home & Garden,Decor,HomeMaker,SUP003,58.00,234.99,75.3,42,18,false,2023-08-15,2024-06-10
PROD016,CAT004,Sports,Athletic Wear,SportStyle,SUP009,75.00,345.80,78.3,55,20,false,2023-03-12,2024-07-02
PROD017,CAT001,Electronics,Gaming,GameTech,SUP010,280.00,567.90,50.7,28,10,false,2023-05-08,2024-05-25
PROD018,CAT002,Clothing,Accessories,FashionCorp,SUP002,95.00,423.75,77.6,68,25,false,2023-06-20,2024-07-20
PROD019,CAT005,Books,Educational,EduPress,SUP011,45.00,234.75,80.8,95,30,false,2023-04-18,2024-06-05
PROD020,CAT003,Home & Garden,Tools,ToolMaster,SUP012,88.00,178.50,50.9,38,15,false,2023-07-05,2024-07-22
PROD021,CAT001,Electronics,Wearables,TechBrand,SUP001,135.00,345.25,60.9,45,18,false,2023-08-01,2024-05-15
PROD022,CAT004,Sports,Team Sports,TeamGear,SUP013,125.00,289.50,56.8,32,12,false,2023-02-22,2024-07-14
PROD023,CAT002,Clothing,Formal Wear,ElegantStyle,SUP014,210.00,498.99,57.9,22,8,false,2023-09-10,2024-06-12
PROD024,CAT005,Books,Reference,RefBooks,SUP015,28.00,234.75,88.1,78,25,false,2023-01-30,2024-07-16
PROD025,CAT001,Electronics,Smart Home,SmartTech,SUP016,340.00,567.99,40.1,16,6,false,2023-10-15,2024-05-08
PROD026,CAT003,Home & Garden,Lighting,LightCraft,SUP017,180.00,456.80,60.6,28,12,false,2023-03-28,2024-07-19
PROD027,CAT002,Clothing,Seasonal,SeasonWear,SUP018,92.00,456.90,79.9,48,20,false,2023-11-05,2024-06-28
PROD028,CAT004,Sports,Water Sports,AquaGear,SUP019,425.00,689.99,38.4,12,4,false,2023-04-25,2024-07-11
PROD029,CAT001,Electronics,Audio Systems,SoundPro,SUP020,145.00,234.99,38.3,35,15,false,2023-12-01,2024-05-22
PROD030,CAT005,Books,Travel Guides,TravelBooks,SUP021,18.50,567.80,96.7,65,20,false,2023-05-30,2024-07-07
PROD031,CAT003,Home & Garden,Storage,OrganizePro,SUP022,225.00,456.75,50.8,42,18,false,2023-07-12,2024-06-18
PROD032,CAT002,Clothing,Activewear,ActiveStyle,SUP023,158.00,689.25,77.1,38,15,false,2023-08-20,2024-07-04
PROD033,CAT004,Sports,Winter Sports,WinterGear,SUP024,195.00,345.50,43.6,25,10,false,2023-09-15,2024-05-28
PROD034,CAT001,Electronics,Mobile Accessories,MobilePro,SUP025,48.00,289.25,83.4,88,30,false,2023-10-08,2024-07-21
PROD035,CAT005,Books,Children's Books,KidsRead,SUP026,22.00,567.25,96.1,125,40,false,2023-11-12,2024-06-03
